GO:0080162,GO:0060918
GO:0015115,GO:1901702
GO:0015106,GO:0015318
GO:0015706,GO:1902025
GO:0010486,GO:0051139
GO:0035158,GO:0035151
GO:0015813,GO:0051938
GO:0019783,GO:0008233
GO:0020035,GO:0044650
GO:0010550,GO:0042176
GO:0097485,GO:0031175
GO:0031431,GO:1902554
GO:0019694,GO:0006082
GO:0006734,GO:0019674
GO:0034488,GO:0032974
GO:0031406,GO:0043177
GO:0015499,GO:1901702
GO:0019869,GO:0008200
GO:0033819,GO:0016415
GO:0015913,GO:0015912
GO:0070012,GO:0004175
GO:0019051,GO:0039526
GO:0015708,GO:0098658
GO:1902024,GO:0015807
GO:0140421,GO:0140298
GO:0052652,GO:0009187
GO:1902475,GO:0015807
GO:1902321,GO:0006633
GO:0015382,GO:0015370
GO:0010292,GO:0015297
GO:0052039,GO:0052008
GO:0072657,GO:0008104
GO:0060402,GO:0097553
GO:0001671,GO:0060590
GO:0021905,GO:0048859
GO:0004085,GO:0003995
GO:0039656,GO:0019054
GO:0044565,GO:0032943
GO:0046942,GO:0015849
GO:0120292,GO:1903221
GO:0140425,GO:0140271
GO:0099116,GO:0000966
GO:1902266,GO:0055082
GO:0010856,GO:0010854
GO:0015685,GO:0033214
GO:0051920,GO:0004601
GO:1990221,GO:1902494
GO:0009065,GO:0009063
GO:0008210,GO:0042445
GO:0015701,GO:0019755
GO:0039506,GO:0019054
GO:0015654,GO:1901702
GO:0010348,GO:0051139
GO:0140052,GO:0071404
GO:0150102,GO:0002695
