GO:0003860	GO:0018739
GO:0003986	GO:0033882
GO:0003986	GO:0047617
GO:0003986	GO:0047901
GO:0004320	GO:0016296
GO:0004320	GO:0047381
GO:0004778	GO:0047603
GO:0004778	GO:0047901
GO:0016295	GO:0016296
GO:0016295	GO:0047381
GO:0016296	GO:0047381
GO:0018738	GO:0050273
GO:0033880	GO:0047603
GO:0033882	GO:0047617
GO:0033882	GO:0047901
GO:0034843	GO:0102327
GO:0034946	GO:0102150
GO:0047379	GO:0047380
GO:0047379	GO:0052815
GO:0047617	GO:0047901
GO:0052815	GO:0052816
GO:0102150	GO:0102327
GO:0102150	GO:0102574
GO:0102574	GO:0102575
GO:0102574	GO:0102576
GO:0102575	GO:0102576
