id	related_id
GO:1904531	GO:0032092
GO:2000378	GO:0009892
GO:0050604	GO:0004497
GO:1903267	GO:0009895
GO:0034617	GO:0005488
GO:1902092	GO:0009891
GO:0008137	GO:0003954
GO:0044079	GO:0044068
GO:1902974	GO:1903046
GO:0180036	GO:0110064
GO:0006799	GO:0009058
GO:1901423	GO:0042221
GO:0120292	GO:0090068
GO:0042340	GO:0030167
GO:0090347	GO:0019222
GO:0006575	GO:0008152
GO:0021859	GO:0021953
GO:0046597	GO:0051851
GO:1902090	GO:0009889
GO:0000253	GO:0033764
GO:0019448	GO:0170035
GO:0051174	GO:0019222
GO:2000363	GO:0043085
GO:0080185	GO:0034055
GO:1900972	GO:0009890
GO:0006643	GO:0006629
GO:1904610	GO:0042221
GO:0006638	GO:0006629
GO:0033387	GO:0033388
GO:0160191	GO:0008395
GO:0060702	GO:0032074
GO:0018942	GO:0008152
GO:1904530	GO:0032091
GO:0018958	GO:0008152
GO:0046485	GO:0006629
GO:0046185	GO:0009056
GO:0047096	GO:0004508
GO:2000774	GO:0048522
GO:0044616	GO:0035738
GO:0034356	GO:0034355
GO:0009062	GO:0016042
GO:2000645	GO:0009895
GO:0006545	GO:0170038
GO:1904613	GO:0070887
GO:2000644	GO:0009894
GO:0141081	GO:0039537
GO:0106109	GO:0009891
GO:2000374	GO:0019222
GO:2000083	GO:0009890
GO:1902979	GO:1903047
GO:0039671	GO:0052167
GO:1905156	GO:0009892
GO:0039602	GO:0039656
GO:0047295	GO:0004659
GO:0047661	GO:0016855
GO:1901167	GO:0090345
GO:0018888	GO:0090345
GO:0003317	GO:0061343
GO:0006544	GO:0170039
GO:0042197	GO:0090345
GO:0021894	GO:0021884
GO:0046428	GO:0004659
GO:0090398	GO:0009987
GO:0090358	GO:0033240
GO:0043546	GO:0005488
GO:1901716	GO:0009895
GO:0005968	GO:1990234
GO:2000945	GO:0009894
GO:1900975	GO:0009890
GO:1990215	GO:0044068
GO:1903914	GO:0048525
GO:0090045	GO:0043085
GO:2000277	GO:0022898
GO:0031928	GO:0022857
GO:0016298	GO:0016788
GO:0003322	GO:0002064
GO:0106107	GO:0009889
GO:1901715	GO:0062012
GO:0045997	GO:0062014
GO:0045722	GO:0009891
GO:1901436	GO:0009896
GO:1905448	GO:0009893
GO:0018901	GO:0090345
GO:0061141	GO:1903251
GO:1900816	GO:0090345
GO:0140502	GO:0052029
GO:0003960	GO:0003959
GO:0050809	GO:0005488
GO:1902415	GO:0051098
GO:0004798	GO:0047507
GO:1902986	GO:0062012
GO:1901715	GO:0009894
GO:0141073	GO:0052031
GO:1900683	GO:0062012
GO:1902280	GO:0050790
GO:0008753	GO:0003959
GO:0000162	GO:0006568
GO:1904985	GO:0009890
GO:0047035	GO:0044594
GO:1905087	GO:0009893
GO:1902978	GO:1903046
GO:0042783	GO:0052572
GO:1902616	GO:0015697
GO:1901919	GO:0060700
GO:1990505	GO:1903047
GO:0045754	GO:0009896
GO:1902296	GO:0022402
GO:0031073	GO:0016716
GO:1904726	GO:0010564
GO:0075135	GO:0052029
GO:2000295	GO:0009894
GO:0090357	GO:0062012
GO:1905825	GO:0062012
GO:0005582	GO:0005581
GO:0103036	GO:0003954
GO:0003324	GO:0048666
GO:0001549	GO:0060014
GO:0106108	GO:0009890
GO:1902800	GO:0032075
GO:0018881	GO:0090345
GO:0039525	GO:0044068
GO:0090120	GO:0016192
GO:0008152	GO:0009987
GO:0039595	GO:0039656
GO:1900894	GO:0009892
GO:0051176	GO:0009893
GO:0042768	GO:0016713
GO:0033704	GO:0033764
GO:1902280	GO:0043462
GO:1903786	GO:0009889
GO:0006735	GO:0019674
GO:1905097	GO:0051098
GO:0045818	GO:0009895
GO:1902551	GO:0051341
GO:1900892	GO:0009893
GO:0019444	GO:0006586
GO:1903282	GO:0051341
GO:1901856	GO:0009892
GO:0080020	GO:0009889
GO:0120213	GO:0062012
GO:0030207	GO:0030167
GO:0022853	GO:0015399
GO:1900902	GO:0009889
GO:0006644	GO:0006629
GO:0034483	GO:0050698
GO:0006091	GO:0008152
GO:0019222	GO:0050794
GO:1900901	GO:0009893
GO:0150094	GO:0050435
GO:0060959	GO:0048935
GO:1901919	GO:0032075
GO:0062090	GO:0009891
GO:0046439	GO:0170033
GO:0046486	GO:0006629
GO:0141083	GO:0052031
GO:0160206	GO:0016427
GO:0050369	GO:0004674
GO:0141208	GO:0034979
GO:0004509	GO:0016712
GO:0036431	GO:0047507
GO:1900973	GO:0009891
GO:1905594	GO:0005488
GO:1903469	GO:1903047
GO:0019261	GO:0090345
GO:0046970	GO:0141051
GO:1900698	GO:0062012
GO:0044365	GO:0035738
GO:0021889	GO:0021879
GO:0010883	GO:0050794
GO:1902298	GO:0022402
GO:1901579	GO:0009891
GO:1901003	GO:0009892
GO:1903788	GO:0009891
GO:1903221	GO:0010564
GO:0046784	GO:0016032
GO:0019336	GO:0009056
GO:0010722	GO:0050790
GO:0050212	GO:0050214
GO:1901252	GO:0043903
GO:0032923	GO:0009058
GO:0060558	GO:0051341
GO:0018914	GO:0090345
GO:2000772	GO:0050794
GO:1905723	GO:0009890
GO:0006563	GO:0170039
GO:0015979	GO:0008152
GO:0019444	GO:1901606
GO:1900847	GO:0009890
GO:0018929	GO:0090346
GO:1904612	GO:0042221
GO:0019217	GO:0062012
GO:0106340	GO:0016427
GO:1903804	GO:1905039
GO:0047045	GO:0030283
GO:0051175	GO:0009892
GO:0102175	GO:0000252
GO:0009059	GO:0009058
GO:0006793	GO:0008152
GO:0045734	GO:0062012
GO:0008772	GO:0106310
GO:0043914	GO:0016667
GO:0090105	GO:0002064
GO:2000379	GO:0009893
GO:0003323	GO:0002064
GO:0080142	GO:0009889
GO:0141155	GO:0039656
GO:0090368	GO:0062012
GO:1905086	GO:0009892
GO:0045764	GO:0009893
GO:1903195	GO:0062012
GO:0006569	GO:0006568
GO:0035807	GO:0035821
GO:0080184	GO:0042221
GO:0021895	GO:0021879
GO:1900848	GO:0009891
GO:0097250	GO:0033108
GO:1901468	GO:0009896
GO:0099015	GO:0016032
GO:0000252	GO:0033764
GO:0015551	GO:0022857
GO:1901413	GO:0062012
GO:0090727	GO:0065007
GO:2000773	GO:0048523
GO:0006564	GO:0170034
GO:1903251	GO:0002065
GO:0005953	GO:1990234
GO:0004127	GO:0019205
GO:0140415	GO:0052031
GO:0008390	GO:0016712
GO:0062089	GO:0009889
GO:0045228	GO:0000271
GO:0010556	GO:0009889
GO:1900895	GO:0009893
GO:0031147	GO:0090345
GO:0008300	GO:0016042
GO:0003950	GO:0016763
GO:0018922	GO:0090345
GO:1902091	GO:0009890
GO:0061621	GO:0006734
GO:0036310	GO:0008094
GO:0033248	GO:0009895
GO:0035738	GO:0044419
GO:1904188	GO:0048519
GO:1904983	GO:0003333
GO:0047882	GO:0008395
GO:1901710	GO:0062012
GO:1900899	GO:0019222
GO:0075120	GO:0052029
GO:0018146	GO:0030166
GO:0044865	GO:0044068
GO:0004508	GO:0016712
GO:0008611	GO:0008610
GO:0061725	GO:0016042
GO:0044272	GO:0009058
GO:0050812	GO:0009889
GO:0010602	GO:0062012
GO:0110051	GO:0008152
GO:0008218	GO:0008152
GO:0050292	GO:0008395
GO:0019087	GO:0044068
GO:0034979	GO:0016747
GO:0009892	GO:0048523
GO:1904984	GO:0009889
GO:0050016	GO:0004497
GO:0045819	GO:0009896
GO:0010884	GO:0048522
GO:0018911	GO:0090345
GO:2000376	GO:0009893
GO:0043467	GO:0019222
GO:1990654	GO:0050673
GO:0009893	GO:0048522
GO:0006565	GO:0170040
GO:0006569	GO:1902222
GO:0072592	GO:0008152
GO:0006734	GO:0006163
GO:2000377	GO:0019222
GO:0008396	GO:0008387
GO:0009051	GO:1901135
GO:0010566	GO:0009889
GO:0101021	GO:0016712
GO:2000375	GO:0009892
GO:0033615	GO:0033108
GO:0141005	GO:0140719
GO:0075509	GO:0046718
GO:1904826	GO:0009889
GO:1901265	GO:0005488
GO:1901857	GO:0009893
GO:0010563	GO:0009892
GO:0010507	GO:0009895
GO:0043094	GO:0008152
GO:0009070	GO:1901607
GO:1904774	GO:0009890
GO:0043490	GO:0006116
GO:0039587	GO:0052031
GO:0034356	GO:0046495
GO:0010558	GO:0009890
GO:1903266	GO:0009894
GO:0046189	GO:0009058
GO:0004740	GO:0004674
GO:0010517	GO:0051336
GO:0090345	GO:0008152
GO:1901434	GO:0009894
GO:1903166	GO:0070887
GO:0018889	GO:0090345
GO:0050316	GO:0047507
GO:0052776	GO:0006796
GO:0052032	GO:0052167
GO:1904002	GO:0050678
GO:1905275	GO:0021953
GO:1904611	GO:0070887
GO:1900890	GO:0019222
GO:1901424	GO:0042221
GO:0010565	GO:0019222
GO:0070616	GO:0009889
GO:0005599	GO:0098642
GO:2000373	GO:0043085
GO:0015816	GO:0046942
GO:1903165	GO:0042221
GO:0010371	GO:0062012
GO:1905546	GO:0070887
GO:1904531	GO:1904616
GO:0010583	GO:0042221
GO:0008412	GO:0004659
GO:1902224	GO:0044281
GO:0030258	GO:0006629
GO:1900900	GO:0009892
GO:0032353	GO:0009890
GO:0000820	GO:0062012
GO:0046375	GO:0043170
GO:0033247	GO:0009894
GO:0039606	GO:0039656
GO:1904312	GO:0071248
GO:0140976	GO:0140546
GO:0062097	GO:0008152
GO:0019444	GO:0042436
GO:1901466	GO:0062012
GO:0003328	GO:0048663
GO:0106340	GO:0016423
GO:0005527	GO:0005488
GO:0061463	GO:0052689
GO:0030207	GO:0050654
GO:0030201	GO:0006790
GO:0106240	GO:0016712
GO:0010520	GO:2000241
GO:0140132	GO:0016530
GO:0010526	GO:0045814
GO:0039639	GO:0016032
GO:1904514	GO:2000243
GO:0010506	GO:0009894
GO:0090399	GO:0022402
GO:0141083	GO:0044068
GO:0004355	GO:0015930
GO:0050654	GO:0030203
GO:0052158	GO:0052167
GO:0030995	GO:0000272
GO:0140755	GO:0141171
GO:1900893	GO:0019222
GO:0045763	GO:0009892
GO:0035274	GO:0005488
GO:0045721	GO:0009890
GO:1900185	GO:0009891
GO:0008834	GO:0045547
GO:1904003	GO:0050680
GO:0019448	GO:0170040
GO:0036430	GO:0050145
GO:0033249	GO:0009896
GO:1904311	GO:0010038
GO:0006413	GO:0008152
GO:0003325	GO:0002064
GO:0160159	GO:0009896
GO:1905724	GO:0009891
GO:0141070	GO:0052029
GO:0034084	GO:0016787
GO:1905722	GO:0009889
GO:0009041	GO:0019205
GO:0052158	GO:0030682
GO:0015015	GO:0043412
GO:0052322	GO:0140546
GO:0034408	GO:1903046
GO:1901578	GO:0009890
GO:0033703	GO:0033764
GO:1902975	GO:1903047
GO:0050321	GO:0004674
GO:1903248	GO:0062012
GO:1904986	GO:0009891
GO:0033862	GO:0050145
GO:0072560	GO:0002070
GO:0010191	GO:0008152
GO:0003311	GO:0061101
GO:1990318	GO:0005581
GO:0042744	GO:0009056
GO:0075733	GO:0044403
GO:2000646	GO:0009896
GO:0015816	GO:0071705
GO:0033388	GO:0009064
GO:0042339	GO:0006029
GO:2001276	GO:0062012
GO:0140523	GO:0003924
GO:1902171	GO:0050790
GO:0046773	GO:0039656
GO:0021891	GO:0021884
GO:0008251	GO:0004000
GO:0010508	GO:0009896
GO:0051607	GO:0098542
GO:0090120	GO:0032367
GO:1904775	GO:0009891
GO:0042180	GO:0008152
GO:1900686	GO:0062012
GO:0060700	GO:0051336
GO:0006116	GO:0019674
GO:0030938	GO:0005581
GO:1901493	GO:0042221
GO:0018873	GO:0090345
GO:0045130	GO:0050698
GO:0052645	GO:0032787
GO:2000276	GO:0022898
GO:0045025	GO:1905354
GO:0140754	GO:0141171
GO:0090728	GO:0065007
GO:0032041	GO:0141050
GO:0045734	GO:0009894
GO:1900903	GO:0009890
GO:0052160	GO:0052031
GO:0003324	GO:0002066
GO:0035883	GO:0030855
GO:0005590	GO:0005581
GO:0000162	GO:1902223
GO:1900891	GO:0009892
GO:1904827	GO:0009890
GO:0008494	GO:0045182
GO:0018980	GO:0090345
GO:1902947	GO:0071900
GO:0039522	GO:0052038
GO:0102733	GO:0004497
GO:0039671	GO:0044068
GO:0052776	GO:0019637
GO:0010557	GO:0009891
GO:0072593	GO:0008152
GO:0045227	GO:0000271
GO:0000821	GO:0062012
GO:0005591	GO:0098642
GO:1904983	GO:1905039
GO:0030209	GO:0050655
GO:1902292	GO:0022402
GO:0044477	GO:0035738
GO:0060945	GO:0048934
GO:0062184	GO:0008395
GO:0010192	GO:0009058
GO:0009395	GO:0016042
GO:1901501	GO:0042221
GO:0042762	GO:0019222
GO:0080093	GO:0019222
GO:0019444	GO:0009074
GO:0030200	GO:0030201
GO:1904727	GO:0010948
GO:0046885	GO:0009889
GO:1901338	GO:0005488
GO:0061449	GO:0021884
GO:0044077	GO:1990215
GO:0018551	GO:0016668
GO:0141159	GO:0052031
GO:0035634	GO:0042221
GO:1902294	GO:0022402
GO:0046466	GO:0016042
GO:0006546	GO:0170040
GO:0044875	GO:0004497
GO:0062179	GO:0008395
GO:0015665	GO:0022857
GO:1904530	GO:1904616
GO:0006734	GO:0046496
GO:0045761	GO:0050790
GO:0015187	GO:0046943
GO:0046597	GO:0045087
GO:0006563	GO:0170033
GO:1905408	GO:0022898
GO:1904614	GO:0042221
GO:0010562	GO:0009893
GO:0141154	GO:0044414
GO:1900907	GO:0009893
GO:0006564	GO:0170038
GO:0046184	GO:0009058
GO:0036522	GO:0044068
GO:0045998	GO:0062013
GO:0018898	GO:0090345
GO:0030202	GO:0006029
GO:0047506	GO:0047507
GO:0098673	GO:0044068
GO:0032071	GO:0051336
GO:1900976	GO:0009891
GO:0006805	GO:0008152
GO:0072754	GO:1901699
GO:1905013	GO:0033239
GO:0052091	GO:0044002
GO:1904615	GO:0070887
GO:0030210	GO:0030166
GO:0007131	GO:1903046
GO:0140755	GO:0016032
GO:0050654	GO:0006790
GO:0006857	GO:0015833
GO:1901435	GO:0009895
GO:0098676	GO:0044003
GO:1902983	GO:1903047
GO:0009071	GO:1901606
GO:0006720	GO:0006629
GO:0030204	GO:0030203
GO:0046905	GO:0004659
GO:0141074	GO:0039537
GO:0033668	GO:0052150
GO:1903268	GO:0009896
GO:0046439	GO:0170039
GO:2000296	GO:0009895
GO:0042178	GO:0009056
GO:0018961	GO:0090345
GO:0097354	GO:0008152
GO:0052088	GO:0052167
GO:0101020	GO:0016712
GO:0008754	GO:0016757
GO:0034055	GO:0140403
GO:0008123	GO:0016712
GO:0120136	GO:0047507
GO:0047045	GO:0072582
GO:0015012	GO:0030201
GO:0015341	GO:0140826
GO:0150065	GO:0050790
GO:0010109	GO:0019222
GO:0046906	GO:0005488
GO:0085034	GO:0052029
GO:0030343	GO:0008395
GO:0035302	GO:0016712
GO:0141029	GO:0052008
GO:0039636	GO:0044068
GO:0071269	GO:0170034
GO:0039524	GO:0039656
GO:0045753	GO:0009895
GO:1904966	GO:0009891
GO:1904828	GO:0009891
GO:0009069	GO:1901605
GO:1901466	GO:0009894
GO:0050747	GO:0009891
GO:0016040	GO:0015930
GO:0031282	GO:0050790
GO:0090357	GO:0033238
GO:0005965	GO:1990234
GO:1904189	GO:0048518
GO:0010566	GO:0062012
GO:0140878	GO:0090345
GO:0044619	GO:0035738
GO:0006631	GO:0006629
GO:1901717	GO:0009896
GO:0006790	GO:0008152
GO:1901498	GO:0042221
GO:0051851	GO:0035821
GO:0052776	GO:0006032
GO:1903285	GO:0009896
GO:1900906	GO:0009892
GO:0050999	GO:0051341
GO:0018592	GO:0016709
GO:0002324	GO:0002285
GO:0030205	GO:0030203
GO:0070704	GO:0016717
GO:0006565	GO:0170035
GO:1900971	GO:0009889
GO:0141145	GO:0052031
GO:0090349	GO:0009892
GO:0002325	GO:0002285
GO:0033783	GO:0008387
GO:0071408	GO:0070887
GO:0036275	GO:0042221
GO:0042767	GO:0016713
GO:1902948	GO:0071901
GO:0035899	GO:0035807
GO:0006081	GO:0008152
GO:0102910	GO:0003674
GO:0001887	GO:0008152
GO:0120291	GO:0010948
GO:2001290	GO:0008152
GO:0090088	GO:0090087
GO:0006914	GO:0009056
GO:0035881	GO:0021953
GO:0097160	GO:0005488
GO:0030212	GO:0030203
GO:0039673	GO:0052167
GO:0070617	GO:0009890
GO:0003676	GO:0005488
GO:0032344	GO:0062012
GO:0050214	GO:0008395
GO:0050650	GO:0044272
GO:0046969	GO:0141050
GO:0014071	GO:0042221
GO:1900184	GO:0009890
GO:0046505	GO:0006629
GO:0160206	GO:0016300
GO:0039674	GO:0016032
GO:1904004	GO:0050679
GO:0034481	GO:0050698
GO:1901577	GO:0009889
GO:1900904	GO:0009891
GO:1900974	GO:0009889
GO:0070576	GO:0008395
GO:0015166	GO:0022857
GO:1902982	GO:1903046
GO:1901467	GO:0009895
GO:0008123	GO:0008387
GO:0039646	GO:0044068
GO:0010567	GO:0062012
GO:0150094	GO:0009056
GO:0030211	GO:0030167
GO:0015745	GO:0055085
GO:1904965	GO:0009889
GO:0046886	GO:0009891
GO:0039520	GO:0075071
GO:0046503	GO:0016042
GO:0033782	GO:0008387
GO:1902314	GO:0005488
GO:1901997	GO:0033239
GO:1905085	GO:0019222
GO:0033244	GO:0062012
GO:1900905	GO:0019222
GO:0010567	GO:0009894
GO:0010337	GO:0062012
GO:0050650	GO:0006024
GO:0018679	GO:0016712
GO:0030209	GO:0030167
GO:0010520	GO:0010564
GO:2000874	GO:0062012
GO:0060141	GO:0044068
GO:1903461	GO:1903047
GO:0010888	GO:0048523
GO:0005461	GO:0046943
GO:1905157	GO:0009893
GO:1904728	GO:0090068
GO:0052088	GO:0052027
GO:0039635	GO:0044068
GO:1903787	GO:0009890
GO:1900339	GO:0062012
GO:0035275	GO:0005488
GO:0015503	GO:0022821
